LOCATION,DATE,Interest_Rate
IRE,9/30/11,5.8
IRE,12/31/11,6.3
IRE,3/31/12,5.42
IRE,6/30/12,5.22
IRE,9/30/12,5.03
IRE,12/31/12,4.97
IRE,3/31/13,5.07
IRE,6/30/13,5.11
IRE,9/30/13,5.13
IRE,12/31/13,5.2
IRE,3/31/14,5.26
IRE,6/30/14,5.67
IRE,9/30/14,5.93
IRE,12/31/14,5.88
IRE,3/31/15,6.26
IRE,6/30/15,6.48
IRE,9/30/15,6.81
IRE,12/31/15,6.98
IRE,3/31/16,6.93
IRE,6/30/16,6.93
IRE,9/30/16,7.02
IRE,12/31/16,7.16
IRE,3/31/17,8.13
IRE,6/30/17,8.07
IRE,9/30/17,8.1
IRE,12/31/17,7.9
IRE,3/31/18,7.91
IRE,6/30/18,7.96
IRE,9/30/18,7.99
IRE,12/31/18,7.98
IRE,1/31/19,5.18
IRE,4/30/19,5.25
IRE,7/31/19,5.11
IRE,10/31/19,5.72
IRE,1/31/20,5.94
IRE,4/30/20,5.23
IRE,7/31/20,4.81
IRE,10/31/20,4.47
IRE,1/31/21,4.1
IRE,4/30/21,4.21
IRE,7/31/21,4.21
IRE,10/31/21,4.47
IRE,1/31/22,4.02
IRE,4/30/22,4.19
IRE,7/31/22,4.52
IRE,10/31/22,5.51
IRE,1/31/23,5.71
IRE,4/30/23,6.08
IRE,7/31/23,6.21
NLD,3/31/00,
NLD,6/30/00,
NLD,9/30/00,
NLD,12/31/00,
NLD,3/31/01,
NLD,6/30/01,
NLD,9/30/01,
NLD,12/31/01,
NLD,3/31/02,
NLD,6/30/02,
NLD,9/30/02,
NLD,12/31/02,
NLD,3/31/03,7.03
NLD,6/30/03,6.8
NLD,9/30/03,6.71
NLD,12/31/03,6.58
NLD,3/31/04,6.48
NLD,6/30/04,6.38
NLD,9/30/04,6.37
NLD,12/31/04,6.24
NLD,3/31/05,6.1
NLD,6/30/05,6.07
NLD,9/30/05,6
NLD,12/31/05,5.82
NLD,3/31/06,5.76
NLD,6/30/06,5.84
NLD,9/30/06,5.96
NLD,12/31/06,6.14
NLD,3/31/07,6.22
NLD,6/30/07,6.29
NLD,9/30/07,6.52
NLD,12/31/07,6.49
NLD,3/31/08,6.42
NLD,6/30/08,6.42
NLD,9/30/08,6.89
NLD,12/31/08,6.62
NLD,3/31/09,6.12
NLD,6/30/09,5.84
NLD,9/30/09,5.66
NLD,12/31/09,5.55
NLD,3/31/10,5.51
NLD,6/30/10,5.34
NLD,9/30/10,5.29
NLD,12/31/10,5.3
NLD,3/31/11,5.39
NLD,6/30/11,5.39
NLD,9/30/11,5.58
NLD,12/31/11,5.6
NLD,3/31/12,5.51
NLD,6/30/12,5.36
NLD,9/30/12,5.27
NLD,12/31/12,5.21
NLD,3/31/13,5.21
NLD,6/30/13,5.03
NLD,9/30/13,5.02
NLD,12/31/13,4.98
NLD,3/31/14,4.99
NLD,6/30/14,4.93
NLD,9/30/14,4.9
NLD,12/31/14,4.86
NLD,3/31/15,4.84
NLD,6/30/15,4.71
NLD,9/30/15,4.7
NLD,12/31/15,4.65
NLD,3/31/16,4.58
NLD,6/30/16,4.42
NLD,9/30/16,4.41
NLD,12/31/16,4.38
