LOCATION,TIME,TERMTRADE
POL,2004,94.50096087
POL,2005,95.6774979
POL,2006,95.55247029
POL,2007,97.14350526
POL,2008,95.76298634
POL,2009,98.79130367
POL,2010,97.30822467
POL,2011,95.79553022
POL,2012,94.59173131
POL,2013,95.58560528
POL,2014,97.3852097
POL,2015,100
POL,2016,100.4734283
POL,2017,100.6754449
POL,2018,99.75251168
POL,2019,100.9574869
POL,2020,103.7509581
POL,2021,101.6583856
POL,2022,98.10694062
PRT,1995,93.31832757
PRT,1996,91.31298395
PRT,1997,91.91236235
PRT,1998,94.46651549
PRT,1999,95.51316245
PRT,2000,92.83578413
PRT,2001,92.94682609
PRT,2002,94.60177629
PRT,2003,94.85946923
PRT,2004,94.53725371
PRT,2005,93.47556313
PRT,2006,94.10639711
PRT,2007,94.5405781
PRT,2008,92.34726621
PRT,2009,96.81336366
PRT,2010,95.47085481
PRT,2011,93.71174411
PRT,2012,94.33086257
PRT,2013,95.98062835
PRT,2014,96.91524491
PRT,2015,100
PRT,2016,101.6263125
PRT,2017,100.8323119
PRT,2018,100.3082168
PRT,2019,101.1177769
PRT,2020,102.5227973
PRT,2021,101.4634794
PRT,2022,97.78131173
SVK,1995,116.8611251
SVK,1996,111.2782206
SVK,1997,113.8689894
SVK,1998,109.8715321
SVK,1999,108.049757
SVK,2000,112.0102415
SVK,2001,110.8203241
SVK,2002,110.5300783
SVK,2003,110.2107969
SVK,2004,109.8859526
SVK,2005,109.8994446
SVK,2006,108.3510824
SVK,2007,107.1245696
SVK,2008,105.3715559
SVK,2009,104.1746256
SVK,2010,103.3172751
SVK,2011,101.936029
SVK,2012,100.6728529
SVK,2013,100.2174515
SVK,2014,100.2698944
SVK,2015,100
SVK,2016,99.61231053
SVK,2017,99.06852971
SVK,2018,98.48652614
SVK,2019,98.24731695
SVK,2020,97.89354348
SVK,2021,97.0364412
SVK,2022,93.24050961
ESP,1995,94.99355065
ESP,1996,96.69476634
ESP,1997,96.82666252
ESP,1998,99.66897401
ESP,1999,99.39603882
ESP,2000,95.92506036
ESP,2001,97.59375213
ESP,2002,100.378658
ESP,2003,101.7183564
ESP,2004,101.3905636
ESP,2005,102.2661715
ESP,2006,102.7975879
ESP,2007,103.6857464
ESP,2008,102.0054974
ESP,2009,106.7061496
ESP,2010,103.7333543
ESP,2011,100.0309476
ESP,2012,98.94281025
ESP,2013,100.338492
ESP,2014,99.51170212
ESP,2015,100
ESP,2016,100.4288019
ESP,2017,99.93385894
ESP,2018,99.28559972
ESP,2019,99.13430792
ESP,2020,101.2472847
ESP,2021,100.5518196
ESP,2022,93.56486283
SWE,1995,111.4655454
SWE,1996,110.5559033
SWE,1997,109.8517862
SWE,1998,109.6144985
SWE,1999,106.5752219
SWE,2000,104.8065018
SWE,2001,103.3818333
SWE,2002,101.2417212
SWE,2003,100.8251144
SWE,2004,99.69536181
SWE,2005,97.83316817
SWE,2006,97.94903313
SWE,2007,99.36414064
SWE,2008,99.06580057
SWE,2009,100.1028584
SWE,2010,99.7328377
SWE,2011,99.0217804
SWE,2012,99.03263169
SWE,2013,99.23264929
SWE,2014,99.3332759
SWE,2015,100
SWE,2016,100.3383371
SWE,2017,99.43812136
SWE,2018,98.09383825
SWE,2019,98.53434476
SWE,2020,99.5210728
SWE,2021,99.91342626
SWE,2022,97.03807787
CHE,1995,101.011423
CHE,1996,100.3488269
CHE,1997,98.25633429
CHE,1998,99.17238561
CHE,1999,99.59441825
CHE,2000,97.73931697
CHE,2001,98.04187251
CHE,2002,100.4090401
CHE,2003,101.8852678
CHE,2004,100.8391857
CHE,2005,99.55350522
CHE,2006,98.61403912
CHE,2007,97.78182692
CHE,2008,97.00996929
