DATE,Austria,Belgium,Germany,Estonia,Finland,France,Greece,Ireland,Netherlands,Bank interest rates - loans to corporations of up to EUR 0.25M with a floating rate and an IRF period of up to three months (new business) - Portugal (MIR.M.PT.B.A2A.D.R.2.2240.EUR.N),Slovenia 
1/31/19,2.21,1.74,1.92,3.1,3.23,1.96,5.05,5.18,3.13,3.45,2.84
2/28/19,2.27,1.71,1.95,3.33,3.16,1.97,4.96,5.13,2.78,3.39,2.7
3/31/19,2.3,1.73,1.99,3.32,3.68,1.92,5.22,5.21,2.84,3.33,2.57
4/30/19,2.21,1.73,2.03,2.78,3.5,1.92,5.23,5.25,2.79,3.32,2.74
5/31/19,2.31,1.7,2.04,3.04,3.82,1.96,5.17,5.23,2.71,3.24,2.55
6/30/19,2.19,1.7,2.03,3.19,2.72,1.97,4.88,4.55,2.45,3.24,2.35
7/31/19,2.26,1.73,2,3.43,2.85,2.09,4.89,5.11,2.56,3.27,2.55
8/31/19,2.23,1.71,1.96,3.4,2.99,2.03,5.02,5.63,2.46,3.31,2.48
9/30/19,2.08,1.73,1.88,2.99,2.95,1.99,4.81,6.04,2.3,3.21,2.51
10/31/19,2.21,1.71,1.88,3.46,2.6,1.99,4.92,5.72,2.19,3.27,2.59
11/30/19,2.2,1.71,1.92,4.01,2.61,1.95,4.75,6.89,2.18,3.18,2.76
12/31/19,2.17,1.72,2.03,4.49,2.77,1.99,4.76,5.66,2.24,3.12,2.3
1/31/20,2.26,1.68,1.91,3.91,2.18,2.02,4.59,5.94,2.57,3.41,2.95
2/29/20,2.26,1.66,1.85,3.81,1.99,2.19,4.68,5.07,2.47,3.19,2.99
3/31/20,2.21,1.68,1.82,3.64,1.71,2.29,4.84,5.01,2.22,3.17,2.81
4/30/20,2.05,1.68,1.98,4.24,1.52,1.87,4.59,5.23,2.25,3.17,3.22
5/31/20,2.11,1.67,1.78,4.01,1.74,1.28,4.53,5.1,2.88,1.99,2.68
6/30/20,2.03,1.68,1.92,3.71,2.37,1.06,4.56,5.43,2.52,2.4,2.62
7/31/20,2.08,1.66,1.9,3.71,2.4,1.44,4.31,4.81,2.39,2.73,2.65
8/31/20,2.14,1.67,1.69,4,2.67,1.57,4.56,4.91,2.31,2.88,2.47
9/30/20,2.06,1.68,1.91,3.37,2.7,1.69,4.54,4.74,1.75,2.56,2.4
10/31/20,2.13,1.66,1.87,3.31,2.69,1.66,5.53,4.47,1.76,2.91,2.77
11/30/20,2.06,1.64,1.83,3.73,2.62,1.67,6,4.44,1.96,2.8,2.93
12/31/20,2.03,1.69,1.93,3.67,2.31,1.71,4.15,4.23,1.84,2.86,2.5
1/31/21,2.09,1.72,1.96,3.41,2.25,1.52,4.49,4.1,2.03,3.23,2.62
2/28/21,2.06,1.68,1.9,3.49,2.2,1.55,4.7,4.33,1.86,2.8,2.69
3/31/21,2.05,1.72,1.83,3.27,2.95,1.62,4.62,4.27,1.83,2.66,2.53
4/30/21,2.04,1.71,1.79,3.75,2.98,1.64,4.54,4.21,1.87,2.95,2.43
5/31/21,2.02,1.7,1.81,3.48,2.81,1.55,4.51,4.16,1.82,2.9,2.54
6/30/21,2.13,1.72,1.84,3.74,2.81,1.62,4.26,4.09,1.64,2.92,2.25
7/31/21,2.2,1.72,1.78,3.12,2.66,1.77,4.21,4.21,1.67,2.84,2.36
8/31/21,2.19,1.71,1.76,3.38,3.3,1.66,4.31,4.33,1.63,2.85,2.21
9/30/21,2.14,1.72,1.7,3.94,3.38,1.79,4.35,4.38,1.65,2.82,2.16
10/31/21,2.12,1.71,1.65,1.98,3.31,1.76,4.35,4.47,1.63,2.64,2.14
11/30/21,2.12,1.71,1.74,2.44,3.13,1.74,4.38,4.55,1.51,2.56,2.19
12/31/21,2.05,1.72,1.85,2.46,3.15,1.64,4.45,4.36,1.69,2.49,1.95
1/31/22,2.1,1.71,1.77,2.57,3.21,1.55,4.36,4.02,1.82,3.05,2.32
2/28/22,2.11,1.71,1.73,2.74,3.2,1.63,4.42,4.19,1.76,2.48,2.35
3/31/22,2.12,1.72,1.72,2.71,3.08,1.76,4.53,4.16,1.79,2.25,1.98
4/30/22,2.14,1.68,1.77,2.44,2.97,1.66,4.67,4.19,2.01,2.32,2.17
5/31/22,2.12,1.7,1.77,3.39,4.03,1.96,4.71,4.26,1.99,2.41,2.24
6/30/22,2.11,1.75,1.77,2.57,4.08,1.91,4.52,4.12,2.19,2.52,1.81
7/31/22,2.26,1.82,1.87,2.91,4.24,2.05,4.7,4.52,2.33,2.93,2.24
8/31/22,2.47,1.92,2.09,2.99,4.31,2.2,4.77,4.84,2.45,3.02,2.38
