LOCATION,TIME,COMPEMPLOYEEACTY
AUT,2000,54.21681469
AUT,2001,53.57705075
AUT,2002,53.15623126
AUT,2003,53.0710671
AUT,2004,52.18016261
AUT,2005,51.52669826
AUT,2006,51.03334709
AUT,2007,50.53664629
AUT,2008,51.41655893
AUT,2009,53.06174672
AUT,2010,52.6784742
AUT,2011,52.21276465
AUT,2012,53.01544644
AUT,2013,53.53300911
AUT,2014,53.42288436
AUT,2015,53.3032037
AUT,2016,53.32495675
AUT,2017,53.45388112
AUT,2018,53.77419202
AUT,2019,54.33389743
AUT,2020,56.26421124
AUT,2021,55.62614915
AUT,2022,54.21459516
EST,1995,57.15425272
EST,1996,55.82795683
EST,1997,53.93318352
EST,1998,52.6997429
EST,1999,50.77940757
EST,2000,50.49776841
EST,2001,49.73407567
EST,2002,49.18939744
EST,2003,49.30433587
EST,2004,49.2478291
EST,2005,48.95759977
EST,2006,49.43692967
EST,2007,50.92841092
EST,2008,55.30304369
EST,2009,57.45244699
EST,2010,53.21609714
EST,2011,50.95212864
EST,2012,51.07779025
EST,2013,51.48931637
EST,2014,52.4462831
EST,2015,54.55948206
EST,2016,55.37094999
EST,2017,54.73754478
EST,2018,55.25447776
EST,2019,56.01573353
EST,2020,57.91373924
EST,2021,55.50493214
EST,2022,54.73216233
AUS,1995,53.30011197
AUS,1996,54.20781821
AUS,1997,53.33779639
AUS,1998,53.79038968
AUS,1999,53.23610772
AUS,2000,53.65577213
AUS,2001,52.7149488
AUS,2002,52.8792316
AUS,2003,52.43784729
AUS,2004,52.3448301
AUS,2005,51.8220877
AUS,2006,51.91231023
AUS,2007,52.06509628
AUS,2008,50.09411703
AUS,2009,50.53411108
AUS,2010,50.46480132
AUS,2011,50.75518823
AUS,2012,51.24929591
AUS,2013,51.14405211
AUS,2014,51.92679741
AUS,2015,52.6760397
AUS,2016,50.85281779
AUS,2017,50.81587022
AUS,2018,50.47152565
AUS,2019,51.48317657
AUS,2020,51.07031822
AUS,2021,49.04116889
AUS,2022,48.91696938
DNK,1995,57.80221431
DNK,1996,58.31440868
DNK,1997,58.20246653
DNK,1998,59.92862794
DNK,1999,60.02832844
DNK,2000,57.935752
DNK,2001,59.00381811
DNK,2002,59.60235647
DNK,2003,59.96912351
DNK,2004,59.08604313
DNK,2005,59.43171694
DNK,2006,59.4242431
DNK,2007,61.19524499
DNK,2008,61.4589774
DNK,2009,63.68451022
DNK,2010,61.02529124
DNK,2011,60.64179391
DNK,2012,59.74718146
DNK,2013,59.52858791
DNK,2014,59.20623011
DNK,2015,59.36538727
DNK,2016,59.21978034
DNK,2017,58.65507617
DNK,2018,59.03938538
DNK,2019,59.3979151
DNK,2020,60.20103864
DNK,2021,57.72624122
DNK,2022,55.15910184
NZL,1995,44.130386
NZL,1996,44.85891407
NZL,1997,44.99752914
NZL,1998,44.99567291
NZL,1999,43.49233471
NZL,2000,43.12357236
NZL,2001,43.1105332
NZL,2002,43.89086595
NZL,2003,44.23195834
NZL,2004,44.85862079
NZL,2005,46.10987615
NZL,2006,46.88873773
NZL,2007,46.81219721
NZL,2008,48.53019166
NZL,2009,47.64712414
NZL,2010,47.40054961
NZL,2011,47.28739754
NZL,2012,47.74253497
NZL,2013,46.23466125
NZL,2014,46.91035096
NZL,2015,47.01100668
NZL,2016,46.69416318
NZL,2017,46.1634752
NZL,2018,46.53462876
NZL,2019,47.01136199
NZL,2020,47.74730575
PRT,1995,53.10466656
PRT,1996,54.00808455
PRT,1997,53.96829421
PRT,1998,54.55008766
PRT,1999,54.76555901
PRT,2000,54.94086156
PRT,2001,54.9083208
PRT,2002,54.86009712
PRT,2003,54.66985949
PRT,2004,54.34815574
PRT,2005,55.11953224
PRT,2006,54.25900827
PRT,2007,53.27421678
PRT,2008,53.58469453
PRT,2009,53.78143177
PRT,2010,53.70406186
PRT,2011,52.93891243
PRT,2012,51.15885271
PRT,2013,50.87179442
PRT,2014,50.5182186
PRT,2015,50.094318
PRT,2016,50.13382866
PRT,2017,50.75228193
PRT,2018,51.63420591
PRT,2019,52.33441544
PRT,2020,55.57288679
PRT,2021,55.64640053
PRT,2022,53.7813932
EU,1995,53.72209996
