LOCATION,TIME,HHSAV
SVK,1997,8.710516273
SVK,1998,6.867212038
SVK,1999,5.313941852
SVK,2000,4.578532052
SVK,2001,2.437343334
SVK,2002,1.5510455
SVK,2003,0.842879125
SVK,2004,0.356736569
SVK,2005,0.814893443
SVK,2006,0.308470739
SVK,2007,1.045280723
SVK,2008,0.236964287
SVK,2009,1.690815569
SVK,2010,3.198492294
SVK,2011,2.147548499
SVK,2012,1.283669308
SVK,2013,0.184586503
SVK,2014,0.802625739
SVK,2015,3.226366919
SVK,2016,3.32132857
SVK,2017,2.109832084
SVK,2018,4.678896494
SVK,2019,3.911498025
SVK,2020,5.482839346
SVK,2021,4.152726634
SVK,2022,-2.48370263
ESP,1995,4.899162765
ESP,1996,5.899175757
ESP,1997,6.955856663
ESP,1998,7.176570321
ESP,1999,6.179617935
ESP,2000,6.59963291
ESP,2001,6.449971405
ESP,2002,6.083096508
ESP,2003,7.079615937
ESP,2004,5.070497321
ESP,2005,4.26515099
ESP,2006,2.360106009
ESP,2007,0.772101258
ESP,2008,3.076824841
ESP,2009,6.945862657
ESP,2010,5.064689321
ESP,2011,5.907505498
ESP,2012,2.224017155
ESP,2013,3.981490346
ESP,2014,2.276141899
ESP,2015,3.170023062
ESP,2016,2.97293333
ESP,2017,1.64594967
ESP,2018,1.424500621
ESP,2019,4.162587014
ESP,2020,13.66229914
ESP,2021,9.652908166
ESP,2022,2.949576534
SWE,1995,4.868004542
SWE,1996,2.762309754
SWE,1997,-1.077739516
SWE,1998,-1.15289166
SWE,1999,-0.973267754
SWE,2000,0.435212351
SWE,2001,4.821284432
SWE,2002,5.165801067
SWE,2003,4.663124457
SWE,2004,3.331495362
SWE,2005,2.879992255
SWE,2006,5.028544049
SWE,2007,7.735136493
SWE,2008,9.487931286
SWE,2009,8.881929744
SWE,2010,9.826176557
SWE,2011,10.74211355
SWE,2012,13.19949551
SWE,2013,13.45193777
SWE,2014,13.86794209
SWE,2015,12.09240567
SWE,2016,13.43273946
SWE,2017,12.17251745
SWE,2018,13.66090774
SWE,2019,15.57250062
SWE,2020,16.99146012
SWE,2021,15.51643345
SWE,2022,13.28510696
CHE,1995,12.89988705
CHE,1996,11.59794646
CHE,1997,13.98396059
CHE,1998,13.36915724
CHE,1999,14.75585728
CHE,2000,14.55583487
CHE,2001,14.97498134
CHE,2002,14.28282623
CHE,2003,13.34404672
CHE,2004,12.94802975
CHE,2005,14.2005563
CHE,2006,15.82071918
CHE,2007,17.76600972
CHE,2008,17.12205713
CHE,2009,16.86148127
CHE,2010,17.06915443
CHE,2011,17.0112824
CHE,2012,17.11778095
CHE,2013,17.50494622
CHE,2014,18.63508914
CHE,2015,17.78648664
CHE,2016,17.26623609
CHE,2017,16.35780591
CHE,2018,15.86118319
CHE,2019,17.30706068
CHE,2020,22.04514763
CHE,2021,20.53325576
CHE,2022,19.32111614
GBR,1995,10.12745225
GBR,1996,9.026638465
GBR,1997,6.382320039
GBR,1998,3.155790501
GBR,1999,1.930887269
GBR,2000,4.063876159
GBR,2001,3.914465849
GBR,2002,3.726676072
GBR,2003,2.354463899
GBR,2004,2.69558676
GBR,2005,2.222884063
GBR,2006,2.655546964
GBR,2007,3.881429513
GBR,2008,3.018094045
GBR,2009,5.743894716
GBR,2010,6.840930941
GBR,2011,4.163674033
GBR,2012,3.368760217
GBR,2013,2.881404326
GBR,2014,1.814653693
GBR,2015,4.40537274
GBR,2016,0.733349705
GBR,2017,-0.594800966
GBR,2018,-0.641014052
GBR,2019,-0.514135922
GBR,2020,11.21452975
GBR,2021,6.703948677
GBR,2022,2.018848561
USA,1995,7.235198255
USA,1996,6.793620104
USA,1997,6.584661653
USA,1998,7.061136616
USA,1999,5.19074518
USA,2000,4.936920082
USA,2001,5.133991924
USA,2002,5.920684819
USA,2003,5.570731599
USA,2004,5.133317398
USA,2005,2.965590307
USA,2006,3.722051239
USA,2007,3.491976042
USA,2008,4.769546698
USA,2009,6.074201388
USA,2010,6.466189782
USA,2011,7.005762538
USA,2012,8.853394452
USA,2013,6.31511564
USA,2014,7.284935359
USA,2015,7.781935091
USA,2016,7.220444068
USA,2017,7.504951488
USA,2018,7.82418552
USA,2019,9.133134073
USA,2020,17.49035854
USA,2021,12.36290392
CHL,2003,14.69161425
CHL,2004,12.70953009
CHL,2005,11.42820285
CHL,2006,12.66546507
CHL,2007,9.063984815
CHL,2008,10.98364416
CHL,2009,11.77044264
CHL,2010,9.421292395
CHL,2011,9.896652785
CHL,2012,12.67888691
CHL,2013,12.27100701
CHL,2014,11.70598173
CHL,2015,9.794762022
CHL,2016,10.45318757
CHL,2017,8.880408019
CHL,2018,8.945591105
CHL,2019,11.65259538
CHL,2020,11.52114101
CHL,2021,7.38589344
EST,1995,12.48700979
EST,1996,5.474776133
EST,1997,-1.044167524
EST,1998,-1.26634835
EST,1999,-1.503709149
EST,2000,0
EST,2001,-2.213795498
EST,2002,-10.46825639
EST,2003,-9.700848881
EST,2004,-11.2228562
EST,2005,-9.1902325
EST,2006,-8.104130796
EST,2007,-7.185524199
EST,2008,2.870267841
EST,2009,7.381742229
EST,2010,3.456460095
EST,2011,4.406346599
EST,2012,0.701605072
EST,2013,2.590367478
EST,2014,4.238879192
EST,2015,5.857127637
EST,2016,6.243089295
EST,2017,7.57173302
EST,2018,8.441009455
EST,2019,7.924461119
EST,2020,9.832828053
EST,2021,3.623269386
EST,2022,-4.691314766
RUS,2011,3.743026937
RUS,2012,3.544214358
RUS,2013,3.975922418
RUS,2014,4.148664242
RUS,2015,9.206052136
RUS,2016,9.512214964
RUS,2017,8.712644786
RUS,2018,5.203749295
RUS,2019,4.331334282
ZAF,1995,2.062562935
ZAF,1996,1.845013428
ZAF,1997,3.007685107
ZAF,1998,2.118711508
ZAF,1999,1.549399455
ZAF,2000,1.142046421
ZAF,2001,0.649859707
ZAF,2002,0.708762653
ZAF,2003,0.272641921
ZAF,2004,0.295321489
ZAF,2005,0.040728512
ZAF,2006,-2.405555724
ZAF,2007,-2.90488303
ZAF,2008,-1.342354867
ZAF,2009,-0.921883069
ZAF,2010,-1.38190035
ZAF,2011,-1.62662356
ZAF,2012,-2.226059556
ZAF,2013,-2.384825884
ZAF,2014,-1.899737252
ZAF,2015,-1.070783782
ZAF,2016,-0.921017257
ZAF,2017,-0.106140758
ZAF,2018,-0.310203782
ZAF,2019,-0.567342848
ZAF,2020,0.81832035
ZAF,2021,1.149500805
ZAF,2022,0.207882526
EA,1999,8.101479996
EA,2000,7.293672582
EA,2001,8.0564805
EA,2002,8.305399243
EA,2003,8.231039047
EA,2004,8.02581711
EA,2005,6.887045996
EA,2006,6.800929221
EA,2007,6.486957166
EA,2008,6.685852315
EA,2009,7.852757473
EA,2010,6.726975001
EA,2011,6.207399709
EA,2012,5.605096417
EA,2013,5.634795913
EA,2014,5.768428861
EA,2015,5.886960346
EA,2016,5.889098436
EA,2017,5.792882881
EA,2018,5.98808839
EA,2019,6.618453459
EA,2020,13.4829691
EA,2021,11.09508657
EA,2022,6.90691652
EU,1999,7.542359021
EU,2000,7.058360761
EU,2001,7.773334271
EU,2002,7.577526024
EU,2003,7.636742792
EU,2004,7.15274422
EU,2005,6.341056184
EU,2006,6.116603076
EU,2007,5.669686733
EU,2008,6.157804066
EU,2009,7.487031929
EU,2010,6.514537325
EU,2011,5.946952672
EU,2012,5.297728507
EU,2013,5.476024989
EU,2014,5.29496601
EU,2015,5.255680071
EU,2016,5.581979305
EU,2017,5.327304177
EU,2018,5.358565846
EU,2019,6.0433166
EU,2020,12.47887813
EU,2021,10.10939316
EU,2022,5.766528769
CAN,1995,8.714553684
CAN,1996,6.380675426
CAN,1997,4.401557568
CAN,1998,4.736463887
CAN,1999,4.557866419
CAN,2000,5.045958935
CAN,2001,4.762825344
CAN,2002,3.010913037
CAN,2003,2.041935253
CAN,2004,2.582954023
CAN,2005,1.532370595
CAN,2006,2.60452045
CAN,2007,2.158149465
CAN,2008,3.2620592
CAN,2009,4.503115097
CAN,2010,4.270444696
CAN,2011,4.157075126
CAN,2012,4.719769229
CAN,2013,4.749228699
CAN,2014,3.542754045
CAN,2015,4.074196036
CAN,2016,1.621402109
CAN,2017,1.850587957
CAN,2018,0.669514194
CAN,2019,2.042521933
