LOCATION,TIME,QGDP,HHSAV,HHDI,ECT,EMP,CLIR,TERMTRADE,SHPRICE,EER,RPP,MORT
GBR,4/30/15,0.632878074,4.40537274,2.18,54.09624173,73.38264,,100,104.9493,115.14,116.172375,
GBR,7/31/15,0.430890009,4.40537274,1.84,54.09624173,73.77586,,100,96.94515,117.716667,116.172375,
GBR,10/31/15,0.738668699,4.40537274,-0.28,54.09624173,74.11207,,100,95.11573,116.823333,116.172375,
GBR,1/31/16,0.365381448,0.733349705,-0.62,54.18678823,74.1339,,100.0964493,90.84301,110.556667,124.286525,
GBR,4/30/16,0.629457625,0.733349705,-0.04,54.18678823,74.4164,,100.0964493,94.11661,108.57,124.286525,
GBR,7/31/16,0.441599466,0.733349705,-0.85,54.18678823,74.44731,,100.0964493,102.5659,100.05,124.286525,
GBR,10/31/16,0.64995375,0.733349705,-0.87,54.18678823,74.56567,,100.0964493,105.0592,97.3,124.286525,
GBR,1/31/17,0.73915971,-0.594800966,-0.12,53.82347999,74.7702,,98.77644284,110.2294,97.96,129.994375,
GBR,4/30/17,0.536199019,-0.594800966,1.99,53.82347999,75.1051,,98.77644284,111.9699,98.886667,129.994375,
GBR,7/31/17,0.515931658,-0.594800966,0.05,53.82347999,75.0079,,98.77644284,111.9031,97.06,129.994375,
GBR,10/31/17,0.627325988,-0.594800966,-0.13,53.82347999,75.17477,,98.77644284,113.4315,98.513333,129.994375,
GBR,1/31/18,0.149766105,-0.641014052,1.01,54.26032227,75.56041,,98.75335552,111.3999,99.85,134.0515,
GBR,4/30/18,0.454842112,-0.641014052,-0.54,54.26032227,75.54796,,98.75335552,114.3363,100.2,134.0515,
GBR,7/31/18,0.555787083,-0.641014052,0.21,54.26032227,75.55437,,98.75335552,114.4406,99.223333,134.0515,
GBR,10/31/18,0.257173624,-0.641014052,0.99,54.26032227,75.83325,,98.75335552,105.9359,99.303333,134.0515,
GBR,1/31/19,0.630363596,-0.514135922,-0.32,54.4938939,76.05743,,99.41914873,107.194,100.173333,135.36655,
GBR,4/30/19,0.109963441,-0.514135922,1.41,54.4938939,76.1029,,99.41914873,111.582,99.88,135.36655,
GBR,7/31/19,0.610854174,-0.514135922,-0.06,54.4938939,76.04663,,99.41914873,111.5413,96.68,135.36655,
GBR,10/31/19,-0.025112203,-0.514135922,0.44,54.4938939,76.47201,,99.41914873,111.1686,101.276667,135.36655,
GBR,1/31/20,-2.640828448,11.21452975,-1.33,57.69066422,76.32597,,100.5538624,104.1866,101.243333,139.25575,
GBR,4/30/20,-20.99137261,11.21452975,-2.44,57.69066422,75.71138,,100.5538624,90.68461,99.526667,139.25575,
GBR,7/31/20,16.60861429,11.21452975,3.12,57.69066422,74.92329,,100.5538624,91.8346,99.436667,139.25575,
GBR,10/31/20,1.213880983,11.21452975,0.16,57.69066422,74.57873,,100.5538624,93.97028,99.79,139.25575,
GBR,1/31/21,-1.052939341,6.703948677,0.27,56.49035784,74.67038,,99.10164577,101.0107,102.903333,151.6788,
GBR,4/30/21,6.52844295,6.703948677,0.37,56.49035784,75.01875,,99.10164577,106.2707,104.673333,151.6788,
GBR,7/31/21,1.733513287,6.703948677,-0.61,56.49035784,75.33553,,99.10164577,107.4164,104.73,151.6788,
GBR,10/31/21,1.525013404,6.703948677,-0.77,56.49035784,75.4696,,99.10164577,109.7638,104.856667,151.6788,
GBR,1/31/22,0.487184155,2.018848561,-0.54,55.26914619,75.62624,,96.8527406,112.9461,105.956667,166.48015,
GBR,4/30/22,0.05129824,2.018848561,-1.51,55.26914619,75.51773,,96.8527406,112.7725,103.483333,166.48015,
GBR,7/31/22,-0.093938796,2.018848561,0.07,55.26914619,75.47619,,96.8527406,110.5977,101.29,166.48015,
GBR,10/31/22,0.129018134,2.018848561,1.44,55.26914619,75.62912,,96.8527406,110.2573,101.283333,166.48015,
GBR,1/31/23,0.14462236,,-0.27,,75.87716,,,117.7011,101.046667,,
GBR,4/30/23,0.204720013,,0.92,,75.73028,,,116.7009,103.99,,
DNK,1/31/95,0.514218948,-0.711369612,,57.80221431,,,89.77981924,12.67315,90.47,39.69865,
DNK,4/30/95,-0.286098332,-0.711369612,,57.80221431,,,89.77981924,12.91828,93.593333,39.69865,
DNK,7/31/95,0.4170515,-0.711369612,,57.80221431,,,89.77981924,13.48207,93.44,39.69865,
DNK,10/31/95,0.731687334,-0.711369612,,57.80221431,,,89.77981924,13.31048,93.85,39.69865,
DNK,1/31/96,0.015030293,-2.213616522,,58.31440868,,,90.99038713,14.21933,93.223333,43.94155,
DNK,4/30/96,2.708013266,-2.213616522,,58.31440868,,,90.99038713,14.80041,91.723333,43.94155,
DNK,7/31/96,0.282819107,-2.213616522,,58.31440868,,,90.99038713,15.51511,92.41,43.94155,
